set N := N1, N2, N3, N4, N5, C1, C2, C3, C4, C5, C6, S1, S2, S3, S4, S5;
set T := T1, T2, T3, T4;
set D := N1, N3, C1, C2, S2, S4, S5;
set H := S1 S2 S3 S4 S5;
set M := C1 C2 C3 C4 C5 C6;
set A := 1, 0.95, 0.9, 0.85, 0.80, 0.75;

param HI :=
1 200
2 160
3 120
;

param MI :=
1 150
2 100
3 50
;

param l :=
N1	1.80
N3	2.20
C1	2.20
C2	1.80
S2	2.20
S4	2.00
S5	2.00
;

param c :
	N1	N2	N3	N4	N5	C1	C2	C3	C4	C5	C6	S1	S2	S3	S4	S5 :=
N1	0.00	14.16	17.62	16.26	16.00	15.16	18.70	26.14	23.82	29.10	33.16	31.68	32.40	34.00	36.90	38.20
N2	13.84	0.00	6.88	15.12	20.84	19.16	17.42	25.12	25.28	30.94	30.86	31.30	35.00	35.32	36.12	34.16
N3	17.96	7.20	0.00	12.12	17.58	16.70	13.46	21.92	25.12	25.32	31.26	29.38	28.92	32.28	33.06	32.80
N4	15.92	14.80	11.80	0.00	7.70	7.38	3.30	12.78	16.54	17.08	19.18	21.14	22.16	24.86	25.32	25.38
N5	16.00	20.84	17.58	7.38	0.00	2.16	7.30	16.38	12.42	20.78	17.58	20.58	22.66	23.94	23.06	22.78
C1	14.50	18.84	17.38	6.38	2.84	0.00	7.12	17.74	11.22	20.84	18.70	18.64	21.06	22.66	23.46	24.78
C2	19.38	18.08	14.12	4.30	6.96	7.80	0.00	10.90	16.06	15.40	18.00	18.98	19.54	23.34	25.34	25.48
C3	29.08	29.06	23.86	15.04	17.42	18.18	12.40	0.00	9.00	6.20	12.42	10.72	19.06	15.08	15.86	15.60
C4	23.30	23.28	24.92	16.46	12.60	11.94	13.68	8.50	0.00	10.16	10.30	9.50	12.18	13.96	14.86	14.54
C5	30.96	31.84	27.52	19.56	20.92	20.50	17.20	6.70	9.66	0.00	7.60	5.70	17.74	10.54	11.44	11.12
C6	33.16	30.84	30.58	21.30	17.58	19.04	18.00	12.42	10.98	7.10	0.00	5.50	12.42	10.36	11.54	10.94
S1	37.16	34.44	35.08	25.80	23.08	23.04	23.50	15.58	14.98	10.60	6.00	0.00	15.92	6.02	7.00	6.66
S2	31.28	34.66	29.58	22.84	22.66	21.06	19.20	17.96	11.46	18.16	13.08	15.42	0.00	15.96	10.16	15.62
S3	40.50	37.76	33.94	28.30	26.78	27.50	27.16	21.44	21.70	15.74	12.16	7.52	15.96	0.00	6.84	5.64
S4	36.08	36.06	36.70	27.92	26.04	25.38	26.00	19.60	16.78	15.08	10.54	6.50	10.50	7.84	0.00	6.50
S5	40.54	38.00	36.34	25.40	25.94	26.92	26.28	21.98	21.68	17.74	13.62	9.10	15.96	5.64	6.16	0.00
;

