Date,Open,High,Low,Close,Adj Close,Volume,daily_return
2019-02-28,2.9225,2.965,2.8975,2.925,2.829015,11280800,
2019-03-01,2.97,3.0025,2.9375,2.9375,2.841105,7604800,0.004273504273504258
2019-03-04,2.9475,2.9625,2.8675,2.8925,2.797582,8914400,-0.015319148936170146
2019-03-05,3.02,3.025,2.84,2.9,2.804836,22151600,0.0025929127052721768
2019-03-06,2.915,2.9675,2.89,2.89,2.795164,13251600,-0.0034482758620688614
2019-03-07,2.89,2.915,2.86,2.8975,2.802418,7245600,0.0025951557093424338
2019-03-08,2.7675,2.805,2.6875,2.7425,2.652504,24686400,-0.053494391716997325
2019-03-11,2.745,2.82,2.7225,2.815,2.722625,10814400,0.02643573381950759
2019-03-12,2.82,2.8875,2.8075,2.8675,2.773402,8659600,0.018650088809946785
2019-03-13,2.885,2.91,2.8675,2.895,2.8,8766400,0.009590235396687019
2019-03-14,2.8275,2.835,2.725,2.7375,2.7375,11358400,-0.05440414507772029
2019-03-15,2.7475,2.78,2.725,2.765,2.765,14149600,0.010045662100456765
2019-03-18,2.7725,2.7925,2.745,2.7675,2.7675,9804800,0.0009041591320071429
2019-03-19,2.7675,2.81,2.725,2.74,2.74,12359600,-0.009936766034326916
2019-03-20,2.74,2.74,2.6,2.625,2.625,16415600,-0.04197080291970812
2019-03-21,2.6175,2.6825,2.5875,2.6375,2.6375,12821200,0.004761904761904745
2019-03-22,2.6625,2.665,2.61,2.6125,2.6125,13156000,-0.009478672985782088
2019-03-25,2.615,2.6225,2.5175,2.535,2.535,17944800,-0.02966507177033484
2019-03-26,2.5275,2.61,2.5225,2.5875,2.5875,14140400,0.020710059171597628
2019-03-27,2.5925,2.635,2.5625,2.5725,2.5725,10424800,-0.005797101449275366
2019-03-28,2.59,2.6225,2.5175,2.5475,2.5475,12489200,-0.0097181729834791
2019-03-29,2.5525,2.59,2.5375,2.54,2.54,11676000,-0.0029440628066731422
2019-04-01,2.5725,2.605,2.51,2.5925,2.5925,17662800,0.02066929133858264
2019-04-02,2.5925,2.6025,2.5225,2.525,2.525,34680800,-0.026036644165863043
2019-04-03,2.215,2.5075,2.205,2.4075,2.4075,106391600,-0.046534653465346465
2019-04-04,2.435,2.515,2.4125,2.5075,2.5075,31671200,0.041536863966770365
2019-04-05,2.49,2.5025,2.4475,2.465,2.465,22974400,-0.016949152542372836
2019-04-08,2.4475,2.52,2.4325,2.485,2.485,18204000,0.008113590263691739
2019-04-09,2.4625,2.5,2.4525,2.455,2.455,11914000,-0.012072434607645843
2019-04-10,2.47,2.5025,2.47,2.4925,2.4925,11228800,0.015274949083503131
2019-04-11,2.495,2.495,2.435,2.44,2.44,10180800,-0.02106318956870623
2019-04-12,2.4475,2.4575,2.3225,2.33,2.33,19114000,-0.04508196721311475
2019-04-15,2.3175,2.3375,2.2025,2.235,2.235,22109600,-0.04077253218884125
2019-04-16,2.25,2.2875,2.2375,2.27,2.27,18880000,0.015659955257270708
2019-04-17,2.2775,2.28,2.1875,2.235,2.235,15684400,-0.01541850220264318
2019-04-18,2.215,2.2575,2.185,2.1925,2.1925,15256800,-0.019015659955257225
2019-04-22,2.1875,2.205,2.1325,2.1625,2.1625,25114800,-0.0136830102622576
2019-04-23,2.16,2.2425,2.16,2.2225,2.2225,17809200,0.02774566473988438
2019-04-24,2.225,2.265,2.2225,2.2525,2.2525,16424400,0.013498312710910954
2019-04-25,2.2475,2.25,2.18,2.2375,2.2375,10508000,-0.006659267480577213
2019-04-26,2.2325,2.2575,2.22,2.2225,2.2225,9227200,-0.006703910614525022
2019-04-29,2.2225,2.225,2.1775,2.19,2.19,10192400,-0.014623172103487181
2019-04-30,2.2,2.2125,2.1625,2.1625,2.1625,12830800,-0.012557077625570678
2019-05-01,2.165,2.1975,2.1175,2.1275,2.1275,14155600,-0.016184971098266
2019-05-02,2.1275,2.2075,2.1275,2.1925,2.1925,12467600,0.03055229142185656
2019-05-03,2.2025,2.2475,2.1925,2.2425,2.2425,8718400,0.022805017103763037
2019-05-06,2.2125,2.23,2.165,2.2125,2.2125,9624800,-0.013377926421404784
2019-05-07,2.1925,2.23,2.1725,2.1925,2.1925,10366400,-0.009039548022598876
2019-05-08,2.1875,2.2125,2.1625,2.1725,2.1725,8249600,-0.009122006841505104
2019-05-09,2.15,2.1625,2.12,2.13,2.13,9358000,-0.019562715765247374
2019-05-10,2.13,2.145,2.09,2.12,2.12,9206000,-0.004694835680751019
2019-05-13,2.0825,2.0925,2.0425,2.065,2.065,12172800,-0.025943396226415172
2019-05-14,2.08,2.1375,2.06,2.1325,2.1325,10451600,0.032687651331719136
2019-05-15,2.11,2.1775,2.11,2.1725,2.1725,9014000,0.01875732708089095
2019-05-16,2.185,2.21,2.16,2.1675,2.1675,7004000,-0.0023014959723820505
2019-05-17,2.135,2.195,2.135,2.1525,2.1525,7869200,-0.006920415224913601
2019-05-20,2.115,2.13,1.995,2.015,2.015,20174400,-0.06387921022067355
2019-05-21,2.0175,2.035,1.9725,2.0325,2.0325,22788400,0.008684863523573227
2019-05-22,2.0175,2.02,1.94,1.975,1.975,18064400,-0.02829028290282909
2019-05-23,1.96,1.965,1.9175,1.925,1.925,15678000,-0.025316455696202556
2019-05-24,1.9275,1.965,1.9275,1.955,1.955,10168400,0.01558441558441559
2019-05-28,1.9625,1.9975,1.935,1.935,1.935,10931200,-0.010230179028132946
2019-05-29,1.9325,1.9375,1.8475,1.8925,1.8925,16510800,-0.021963824289405687
2019-05-30,1.8925,1.925,1.8825,1.9,1.9,10780800,0.003963011889035473
2019-05-31,1.8675,1.915,1.83,1.895,1.895,15932400,-0.002631578947368318
2019-06-03,1.895,1.9125,1.855,1.8675,1.8675,20916400,-0.014511873350923521
2019-06-04,1.895,1.9625,1.88,1.955,1.955,41720400,0.04685408299866145
2019-06-05,1.3725,1.3975,1.1775,1.26,1.26,157416800,-0.3554987212276215
2019-06-06,1.245,1.2825,1.21,1.2825,1.2825,54232000,0.017857142857142794
2019-06-07,1.2825,1.3075,1.2475,1.255,1.255,42365200,-0.021442495126705707
2019-06-10,1.3425,1.3875,1.3225,1.36,1.36,75706000,0.08366533864541847
2019-06-11,1.3825,1.4625,1.3725,1.43,1.43,53695200,0.051470588235293935
2019-06-12,1.42,1.45,1.375,1.375,1.375,19657200,-0.038461538461538436
2019-06-13,1.3875,1.4325,1.3725,1.425,1.425,23363200,0.036363636363636376
2019-06-14,1.425,1.4575,1.4025,1.4075,1.4075,21218400,-0.012280701754386003
2019-06-17,1.4075,1.4525,1.4,1.425,1.425,14746000,0.01243339253996445
2019-06-18,1.4275,1.4575,1.4175,1.4325,1.4325,16281600,0.0052631578947368585
2019-06-19,1.4375,1.4375,1.4025,1.4075,1.4075,11893200,-0.017452006980802848
2019-06-20,1.415,1.4225,1.38,1.3825,1.3825,15735200,-0.017761989342806372
2019-06-21,1.38,1.38,1.3275,1.355,1.355,35817200,-0.019891500904159143
2019-06-24,1.3525,1.3675,1.32,1.3425,1.3425,19293200,-0.009225092250922495
2019-06-25,1.335,1.3825,1.33,1.3625,1.3625,12341600,0.014897579143389184
2019-06-26,1.3675,1.38,1.345,1.3675,1.3675,14207200,0.003669724770642091
2019-06-27,1.365,1.3975,1.3575,1.385,1.385,15024000,0.012797074954296273
2019-06-28,1.3825,1.395,1.36,1.3675,1.3675,15585600,-0.01263537906137191
2019-07-01,1.3825,1.3925,1.335,1.34,1.34,17243200,-0.02010968921389389
2019-07-02,1.3375,1.3625,1.33,1.345,1.345,22574000,0.003731343283581934
2019-07-03,1.3525,1.3575,1.3175,1.3275,1.3275,10248400,-0.013011152416356975
2019-07-05,1.325,1.41,1.3175,1.38,1.38,51578400,0.039548022598870025
2019-07-08,1.375,1.3825,1.355,1.3625,1.3625,26370800,-0.0126811594202898
2019-07-09,1.37,1.3875,1.32,1.3275,1.3275,46887600,-0.025688073394495525
2019-07-10,1.3375,1.3425,1.2925,1.295,1.295,43413200,-0.024482109227871973
2019-07-11,1.245,1.2525,1.1825,1.21,1.21,67112800,-0.06563706563706562
