Date,Open,High,Low,Close,Adj Close,Volume,daily_return
2019-02-28,135.949997,137.949997,135.690002,136.639999,119.230247,10133200,
2019-03-01,137.220001,138.610001,137.009995,138.350006,120.722351,5641600,0.01251468832343905
2019-03-04,138.850006,139.410004,137.509995,138.479996,120.835777,8377700,0.0009395735046082709
2019-03-05,138.809998,139.139999,138.360001,138.770004,121.088852,6568900,0.0020942230529816808
2019-03-06,139.470001,139.649994,138.600006,139.089996,121.36808,6236900,0.00230591619785514
2019-03-07,138.529999,139.119995,137.699997,138.240005,120.626373,6100400,-0.006111086522714526
2019-03-08,138.089996,139.300003,136.419998,138.059998,120.469315,7046700,-0.0013021339228104223
2019-03-11,138.110001,139.029999,137.520004,138.559998,120.905586,6150400,0.0036216138435696266
2019-03-12,138.649994,140.0,138.5,139.179993,121.446602,5552900,0.004474559822092328
2019-03-13,139.589996,139.839996,139.020004,139.410004,121.647293,6446900,0.0016526154014104844
2019-03-14,138.339996,138.800003,137.940002,138.020004,120.434418,8493600,-0.009970590058945739
2019-03-15,138.0,138.259995,136.830002,137.600006,120.067955,11922500,-0.0030430226621351864
2019-03-18,137.649994,137.779999,136.720001,137.169998,119.692688,7369600,-0.0031250580032679
2019-03-19,137.610001,138.820007,137.470001,138.440002,120.800888,5882500,0.009258613534426141
2019-03-20,138.330002,138.509995,136.649994,137.289993,119.797401,5475700,-0.008306912621974583
2019-03-21,137.0,138.779999,136.949997,138.100006,120.504196,5765100,0.005900014868527315
2019-03-22,137.75,138.389999,136.860001,136.910004,119.465874,6528800,-0.008616958351182258
2019-03-25,136.910004,137.009995,135.740005,136.610001,119.204048,4500300,-0.002191242358008938
2019-03-26,136.929993,139.270004,136.929993,138.570007,120.914352,4758600,0.014347456157327798
2019-03-27,138.589996,139.479996,138.070007,138.699997,121.027771,6764900,0.0009380817885069614
2019-03-28,139.059998,139.460007,138.710007,138.880005,121.184814,4602100,0.0012978226668600712
2019-03-29,139.279999,139.880005,138.880005,139.789993,121.978874,7168400,0.006552332713409603
2019-04-01,139.990005,140.289993,138.740005,138.979996,121.272072,5885200,-0.0057943847239481094
2019-04-02,139.009995,139.009995,136.910004,137.710007,120.16391,5517800,-0.009137926583333678
2019-04-03,138.199997,138.240005,136.869995,137.169998,119.692688,5947000,-0.003921349012784514
2019-04-04,136.869995,137.009995,135.130005,135.570007,118.296547,5844600,-0.011664292653849828
2019-04-05,136.039993,136.580002,135.699997,136.179993,118.82885,4759700,0.004499417042886034
2019-04-08,136.050003,136.509995,135.699997,136.139999,118.793945,4329600,-0.0002936848439991646
2019-04-09,136.0,136.259995,134.559998,135.570007,118.296547,5210300,-0.004186807728711606
2019-04-10,135.889999,136.130005,135.330002,135.580002,118.305305,4194100,7.372574672803722e-05
2019-04-11,135.960007,136.179993,134.419998,135.210007,117.982445,4485200,-0.00272897916021575
2019-04-12,135.220001,136.350006,134.75,135.979996,118.654343,5756800,0.005694763406084435
2019-04-15,136.0,136.789993,135.800003,136.520004,119.125519,5380900,0.003971231180209811
2019-04-16,138.320007,140.699997,137.559998,138.020004,120.434418,10745700,0.010987400791462099
2019-04-17,139.0,140.149994,137.669998,138.520004,120.870705,9543700,0.0036226632771290124
2019-04-18,139.350006,140.240005,135.75,137.520004,119.998123,10485300,-0.007219173918014077
2019-04-22,136.979996,138.490005,136.460007,137.830002,120.2686,4666500,0.002254202959447227
2019-04-23,137.419998,140.850006,137.25,139.899994,122.074867,5790500,0.01501844279157738
2019-04-24,139.649994,140.139999,138.860001,139.199997,121.464035,5676300,-0.005003552752118057
2019-04-25,138.520004,139.770004,137.960007,139.649994,121.856705,5218100,0.0032327371386364767
2019-04-26,139.880005,140.520004,139.309998,140.389999,122.502449,4613600,0.005298997721403298
2019-04-29,140.350006,140.429993,139.580002,139.839996,122.022507,4275200,-0.003917679349794589
2019-04-30,140.190002,141.449997,138.960007,141.199997,123.209213,6003700,0.009725407886882254
2019-05-01,140.949997,142.350006,139.75,141.949997,123.863686,6656300,0.005311614843731105
2019-05-02,141.910004,142.149994,140.119995,141.279999,123.279045,8835600,-0.004719957831348154
2019-05-03,141.289993,142.089996,141.080002,142.009995,123.916,5281600,0.005167015891612614
2019-05-06,140.25,142.240005,139.929993,142.089996,123.985855,5818900,0.0005633476714086427
2019-05-07,140.820007,141.380005,139.059998,139.970001,122.135963,6606700,-0.014920086281091982
2019-05-08,140.199997,140.919998,139.699997,139.789993,121.978874,4667300,-0.0012860470008855263
2019-05-09,138.949997,139.320007,137.639999,138.729996,121.053932,5604200,-0.007582781694538077
2019-05-10,138.429993,139.25,136.410004,139.050003,121.333176,4771600,0.0023066893190135662
2019-05-13,137.850006,138.059998,136.529999,137.199997,119.718887,5560000,-0.013304609565524483
2019-05-14,137.039993,137.839996,136.729996,136.820007,119.387337,7179400,-0.0027696064745540427
2019-05-15,136.899994,137.490005,135.330002,136.910004,119.465874,6429400,0.000657776607188687
2019-05-16,137.389999,139.190002,136.970001,138.210007,120.60022,6857200,0.009495310510691413
2019-05-17,137.0,139.029999,136.860001,138.610001,120.949226,6915300,0.0028941030297466863
2019-05-20,138.610001,138.960007,137.679993,138.419998,120.783424,4771100,-0.0013707741045324573
2019-05-21,139.119995,139.570007,138.080002,138.119995,120.521667,4859000,-0.0021673385662092093
2019-05-22,138.350006,138.949997,137.490005,138.759995,121.080109,5456800,0.0046336520646415025
2019-05-23,138.5,139.850006,137.669998,139.789993,121.978874,6951800,0.007422874294568782
2019-05-24,139.5,139.5,138.559998,138.850006,121.987648,5473300,-0.006724279612775996
2019-05-28,139.0,140.490005,137.050003,137.070007,120.42382,11919600,-0.012819581729078267
2019-05-29,135.889999,135.889999,128.520004,131.330002,115.380928,23247400,-0.04187644785047684
2019-05-30,131.440002,132.820007,131.169998,132.110001,116.0662,7360600,0.005939229331619167
2019-05-31,131.520004,132.0,129.610001,131.149994,115.222771,7811000,-0.007266724644109379
2019-06-03,131.5,132.399994,131.039993,131.440002,115.477562,8434600,0.0022112696398597365
2019-06-04,132.600006,134.300003,132.580002,133.729996,117.489464,6648900,0.017422352139039088
2019-06-05,134.699997,135.130005,133.860001,134.380005,118.060516,6860600,0.004860607338984746
2019-06-06,134.899994,137.660004,134.589996,136.679993,120.081184,9115800,0.01711555227282502
2019-06-07,137.589996,139.589996,137.139999,138.550003,121.724098,6533900,0.013681665904094809
2019-06-10,138.600006,139.149994,137.600006,139.020004,122.137024,4994700,0.0033922843004197123
2019-06-11,139.679993,140.660004,139.5,139.779999,122.804718,8230500,0.005466803180353752
2019-06-12,140.300003,142.910004,140.300003,141.679993,124.473969,9216500,0.013592745840554699
2019-06-13,141.720001,141.949997,140.210007,140.710007,123.621788,7500800,-0.0068463159791376516
2019-06-14,141.229996,141.490005,140.039993,140.089996,123.077095,6548100,-0.004406303526088062
2019-06-17,140.0,140.240005,139.210007,139.440002,122.50602,5562800,-0.00463983166935078
2019-06-18,140.559998,140.929993,139.789993,140.229996,123.20005,7122700,0.005665476109215861
2019-06-19,140.009995,140.970001,139.910004,140.449997,123.393349,6393400,0.001568858348965474
2019-06-20,141.25,142.399994,141.0,142.210007,124.939621,7335800,0.012531221342781507
2019-06-21,141.460007,142.429993,141.009995,142.089996,124.834213,11272200,-0.000843899824855332
2019-06-24,142.419998,143.699997,142.089996,143.059998,125.686394,5894700,0.006826673427452246
2019-06-25,143.270004,144.979996,143.190002,144.240005,126.723091,7517000,0.00824833647767842
2019-06-26,143.850006,143.850006,140.759995,141.850006,124.623329,7674100,-0.016569598704603394
2019-06-27,142.229996,142.5,140.600006,140.690002,123.604202,5233500,-0.008177680302671408
2019-06-28,140.740005,141.100006,138.509995,139.279999,122.365425,12792400,-0.010022055440726985
2019-07-01,140.199997,140.259995,138.720001,139.360001,122.435722,5872300,0.0005743969024583073
2019-07-02,139.220001,140.029999,138.690002,140.029999,123.024361,4501200,0.004807677921873754
2019-07-03,141.0,142.179993,140.789993,142.139999,124.878143,3436300,0.015068199779105784
2019-07-05,141.740005,141.860001,140.369995,140.570007,123.498779,4652400,-0.011045391944880967
2019-07-08,140.119995,141.080002,139.639999,140.970001,123.850212,4078100,0.002845514548491135
2019-07-09,141.460007,142.470001,140.910004,141.410004,124.23674,4217400,0.0031212527266704093
2019-07-10,141.779999,141.990005,140.669998,141.210007,124.061035,4874400,-0.0014143058789531926
2019-07-11,140.940002,141.210007,139.020004,140.110001,123.094635,5817400,-0.007789858688980744
2019-07-12,140.119995,140.119995,132.320007,134.300003,117.990227,17780100,-0.04146740388646497
2019-07-15,135.389999,136.360001,134.449997,134.710007,118.350449,10038200,0.003052896432176544
2019-07-16,132.929993,133.830002,131.75,132.5,116.408844,10214500,-0.016405663166508377
2019-07-17,132.490005,133.580002,131.410004,131.860001,115.846542,8862100,-0.00483018113207534
2019-07-18,132.130005,132.509995,131.169998,132.070007,116.031067,6203100,0.00159264370095058
2019-07-19,132.25,132.389999,130.190002,130.309998,114.484795,8340200,-0.013326333813247992
2019-07-22,130.0,130.149994,127.839996,128.639999,113.017586,12624800,-0.012815586107215005
2019-07-23,128.610001,129.449997,128.160004,128.839996,113.193298,5803600,0.0015547030593494604
2019-07-24,128.880005,129.789993,128.570007,129.779999,114.01915,6838600,0.007295894358767319
2019-07-25,130.059998,131.529999,129.669998,131.119995,115.196442,8897800,0.010325134923140133
2019-07-26,131.300003,131.300003,130.490005,130.729996,114.853775,4894600,-0.002974367105489817
2019-07-29,131.0,133.309998,130.210007,133.020004,116.8657,7832000,0.01751708154263243
2019-07-30,132.470001,132.490005,131.270004,132.080002,116.039833,5509600,-0.007066621348169488
2019-07-31,131.639999,132.0,130.179993,130.220001,114.405724,8559200,-0.014082381676523648
2019-08-01,130.259995,130.740005,129.020004,130.289993,114.467209,7870700,0.000537490396732565
2019-08-02,130.860001,131.470001,129.770004,131.070007,115.152489,6574900,0.0059867529503974115
2019-08-05,130.910004,131.460007,129.009995,130.160004,114.353004,9480000,-0.006942877480734522
2019-08-06,130.339996,131.220001,129.589996,130.770004,114.888916,7880600,0.004686539499491715
2019-08-07,129.360001,130.910004,128.190002,130.210007,114.396927,6771700,-0.004282304678984383
2019-08-08,130.979996,131.949997,130.229996,131.679993,115.6884,5260500,0.01128934736943843
2019-08-09,131.800003,132.759995,131.229996,132.039993,116.0047,4677300,0.0027339005098521163
2019-08-12,131.5,132.699997,131.289993,131.929993,115.908051,6852100,-0.0008330809287456775
2019-08-13,132.300003,134.100006,132.0,133.419998,117.217094,5013200,0.011293906458404779
2019-08-14,132.529999,132.539993,130.130005,130.259995,114.440834,7736200,-0.023684627847168627
2019-08-15,130.169998,131.070007,129.25,130.539993,114.686859,7251200,0.0021495317883284404
2019-08-16,131.470001,131.669998,130.600006,131.360001,115.407272,5858900,0.006281661130470573
2019-08-19,132.5,132.570007,131.820007,132.25,116.189186,4958000,0.006775266391783719
2019-08-20,131.960007,132.660004,130.460007,130.600006,114.739563,7302000,-0.012476325141776878
2019-08-21,131.699997,132.410004,130.850006,131.529999,115.556625,6912800,0.007120926165960384
2019-08-22,131.600006,132.130005,130.800003,131.270004,115.328201,7213500,-0.001976697346435796
2019-08-23,131.070007,131.259995,127.129997,127.730003,112.218109,15714000,-0.026967326061786423
2019-08-26,127.419998,128.080002,126.629997,127.800003,113.120964,8889500,0.0005480309900252056
2019-08-27,129.880005,132.399994,129.100006,129.639999,114.749626,20183800,0.01439746445076362
2019-08-28,127.860001,128.869995,127.010002,128.679993,113.899857,9878800,-0.007405168215096847
2019-08-29,128.839996,129.199997,126.830002,128.240005,113.510429,6749900,-0.003419241715376886
2019-08-30,128.270004,129.100006,127.620003,128.360001,113.616631,7371100,0.0009357142492314452
2019-09-03,127.989998,128.979996,127.510002,128.740005,113.952972,5710200,0.002960454947331881
2019-09-04,129.490005,129.589996,128.080002,128.860001,114.059212,4807200,0.0009320801253660527
2019-09-05,129.899994,129.899994,128.309998,128.580002,113.811378,4754100,-0.0021728930453757123
2019-09-06,128.880005,129.229996,128.070007,128.210007,113.483864,6758300,-0.002877547007659964
2019-09-09,128.0,128.160004,126.589996,126.949997,112.368591,7684700,-0.009827704010654914
2019-09-10,127.339996,129.550003,126.339996,129.550003,114.669952,8239500,0.02048055188217135
2019-09-11,129.860001,131.279999,129.080002,131.169998,116.103851,6203600,0.012504785507415184
2019-09-12,131.360001,131.770004,130.059998,130.429993,115.44886,5250000,-0.005641572091813263
2019-09-13,131.330002,131.570007,129.960007,130.779999,115.758667,5369800,0.0026834778715352225
2019-09-16,130.110001,130.75,129.330002,129.539993,114.661095,5101700,-0.00948161805690173
2019-09-17,129.600006,130.5,129.110001,129.669998,114.776176,4976400,0.0010035896790574483
2019-09-18,129.899994,130.559998,128.779999,130.410004,115.431183,4373600,0.005706840529140722
2019-09-19,129.630005,131.190002,129.360001,130.110001,115.165642,4730100,-0.0023004600168555767
2019-09-20,131.0,132.0,130.289993,131.649994,116.528732,12053100,0.011836084760309618
2019-09-23,131.020004,132.050003,130.490005,131.740005,116.608414,5183700,0.000683714425387727
2019-09-24,132.100006,132.779999,131.339996,131.550003,116.440239,7102600,-0.0014422498314008436
2019-09-25,131.5,131.570007,130.229996,130.990005,115.944534,4522900,-0.004256921225611832
2019-09-26,131.089996,131.309998,128.029999,128.850006,114.050362,7545800,-0.016337116713599498
2019-09-27,128.610001,129.399994,126.699997,128.600006,113.829071,6006500,-0.0019402404994843803
2019-09-30,129.070007,130.279999,129.0,129.380005,114.51947,6552100,0.006065310759005849
2019-10-01,130.020004,130.800003,129.770004,129.990005,115.059433,7673000,0.0047147934489566445
2019-10-02,132.759995,134.699997,131.220001,132.0,116.838531,12051800,0.015462688842884598
2019-10-03,131.639999,132.369995,130.009995,131.190002,116.121582,6997600,-0.006136348484848564
2019-10-04,131.339996,133.720001,131.25,133.660004,118.307884,7233300,0.018827669504875688
2019-10-07,133.089996,133.820007,132.139999,133.160004,117.865318,5427200,-0.003740834842411056
2019-10-08,132.449997,133.259995,131.490005,131.839996,116.696922,7870400,-0.009912946533104483
2019-10-09,131.139999,131.25,128.520004,129.220001,114.377846,7787700,-0.019872535493705712
2019-10-10,128.949997,130.119995,128.630005,129.059998,114.236221,5119700,-0.0012382216279350766
