Distribution,Location,Scale,Shape,Mean
Lognorm,-0.34178142035364656,4.048761891113067,0.5385173526476907,
Gamma,0.5673847190467161,0.7884780536396723,3.7513592292833717,3.52524914265529
Lognorm,1.5345618600595754,17.65508602862503,0.5939678623257564,
Expon,0.9999999999998366,3.724489795918532,,4.724489795918369
Norm,-24.09,24.64430765917355,,
Norm,-25.54794520547945,16.02655424547956,,
Weibull_min,0.9889031336362433,9.648656099085827,1.0476245305808796,
Gamma,3.1320924303851463,7.380829548508648,2.306444049216466,20.15556282082397
Weibull_min,0.9180405905282334,7.563368193948195,1.3014038621229749,
Lognorm,-3.73732116097522,14.678748559879411,0.44396208992851177,
Expon,0.9999999999998366,8.300000000000153,,9.29999999999999
Weibull_min,2.8993129956443684,10.492174924693998,1.1296585344307895,
Weibull_min,-0.09423425254828346,5.669914928265933,1.2799400511602974,
Expon,1.999999999999993,7.240000000000009,,9.240000000000002
